BRAND,JRPSKU,OEMSKU,DESCRIPTION,QTY,COST,MAP
"ACCEL Motorcycle",ACC2007RD,2007RD,"ACCEL MOTORCYCLE SLEEVING KIT-RED",0,48.79730,61.62230
"ACCEL Motorcycle",ACC201100B,201100B,"ACCEL MOTORCYCLE VOLT REG",0,202.48960,242.05500
"ACCEL Motorcycle",ACC201100C,201100C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,239.87422,286.58422
"ACCEL Motorcycle",ACC201101B,201101B,"ACCEL MOTORCYCLE VOLT REG",0,191.06653,228.13960
"ACCEL Motorcycle",ACC201101C,201101C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,202.48960,242.05500
"ACCEL Motorcycle",ACC201102B,201102B,"ACCEL MOTORCYCLE VOLT REG",0,185.87422,222.57345
"ACCEL Motorcycle",ACC201102C,201102C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,202.48960,242.05500
"ACCEL Motorcycle",ACC201104B,201104B,"ACCEL MOTORCYCLE VOLT REG",0,178.60500,212.83268
"ACCEL Motorcycle",ACC201104C,201104C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,184.83576,221.18191
"ACCEL Motorcycle",ACC201105,201105,"ACCEL MOTORCYCLE VOLT REG",0,229.48960,274.06038
"ACCEL Motorcycle",ACC201105C,201105C,"ACCEL MOTORCYCLE VOLT REG",0,238.83576,285.19268
"ACCEL Motorcycle",ACC201106C,201106C,"ACCEL MOTORCYCLE VOLT REG",0,185.87422,222.57345
"ACCEL Motorcycle",ACC201107,201107,"ACCEL MOTORCYCLE VOLT REG",0,183.79730,219.79038
"ACCEL Motorcycle",ACC201107C,201107C,"ACCEL MOTORCYCLE VOLT REG",0,183.79730,219.79038
"ACCEL Motorcycle",ACC201118B,201118B,"ACCEL MOTORCYCLE VOLT REG",0,202.48960,242.05500
"ACCEL Motorcycle",ACC201118C,201118C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,207.68191,247.62115
"ACCEL Motorcycle",ACC201121B,201121B,"ACCEL MOTORCYCLE VOLT REG",0,180.68191,215.61576
"ACCEL Motorcycle",ACC201121C,201121C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,207.68191,247.62115
"ACCEL Motorcycle",ACC201122B,201122B,"ACCEL MOTORCYCLE VOLT REG",0,227.41268,271.27730
"ACCEL Motorcycle",ACC201122C,201122C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,290.75883,347.81191
"ACCEL Motorcycle",ACC201123B,201123B,"ACCEL MOTORCYCLE VOLT REG",0,225.33576,269.88576
"ACCEL Motorcycle",ACC201123C,201123C,"ACCEL MOTORCYCLE REGULATOR VOLTAGE CHROME PLTED",0,234.68191,281.01807
"ACCEL Motorcycle",ACC201124B,201124B,"ACCEL MOTORCYCLE 00 SOFTAIL REGULATOR BLACK",0,203.52807,243.44653
"ACCEL Motorcycle",ACC201124C,201124C,"ACCEL MOTORCYCLE 00 SOFTAIL REGULATOR CHROME",0,218.06653,260.14500
"ACCEL Motorcycle",ACC201125B,201125B,"ACCEL MOTORCYCLE 99-UP DYNA REGULATOR BLACK",0,197.29730,235.09730
"ACCEL Motorcycle",ACC201125C,201125C,"ACCEL MOTORCYCLE 99-UP DYNA REGULATOR CHROME",0,218.06653,260.14500
"ACCEL Motorcycle",ACC201126B,201126B,"ACCEL MOTORCYCLE RGLTR VLT 00-03 DY 01-06 ST BK",0,251.29730,300.49960
"ACCEL Motorcycle",ACC201126C,201126C,"ACCEL MOTORCYCLE RGLTR VLT 00-03 DY 01-06 ST CH",0,291.79730,349.20345
"ACCEL Motorcycle",ACC201127B,201127B,"ACCEL MOTORCYCLE REGLTR VLTG 97-01 FLH/FLT BLK",0,358.25883,428.52115
